,source,chapter,analysis_name,analysis_cost,analysis_comment
0,6gkb.by,"
 

Лабораторная диагностика

",Определение осмотической резистентности эритроцитов фотометрическим методом,19.70,
1,6gkb.by,"
 

Лабораторная диагностика

",Гемостазиограмма (пункты 1.2. + 1.4.1. + 1.5. + 6.40.1. + 6.40.2. + 6.40.3. + 6.6.4.)*,33.41,
2,6gkb.by,"
 

Лабораторная диагностика

",Копрограмма (пункты 1.2. + 2.8.1. + 2.8.2. + 2.8.3.),11.91,
3,6gkb.by,"
 

Лабораторная диагностика

",Общий анализ крови с тромбоцитами (пункты 1.2.+ 1.4.+ 3.7.+ 3.9.1.+ 3.26.3. + 3.6.1.)*,15.12,
4,6gkb.by,"
 

Лабораторная диагностика

",Общий анализ крови (пункты 1.2.+ 1.4..+ 3.7.+ 3.9.1.+ 3.26.3.),11.78,
5,6gkb.by,"
 

Лабораторная диагностика

",Общий анализ мочи (пункты 1. 2. + 2. 1. 9. + 2. 1. 4. 1. + 2. 1.10. 1.)*,5.51,
6,6gkb.by,"
 

Лабораторная диагностика

","Определение групп крови по системе А В О перекрестным способом, определение резус-фактора ( п.1.2.+п..1.4.2.+п.1.5.+п.7.2.)*",13.04,
7,6gkb.by,"
 

Лабораторная диагностика

",Проба РЕБЕРГА (пункты 1.2. + 1.4. + 1.5. + (5.13.3.1.3.)х2),6.36,
8,6gkb.by,"
 

Лабораторная диагностика

",Скрининг-тест для определения сифилиса (RPR-carbon) (п.1.2.+п. 1.4.3.+ п.1.5.+ п.8.17.9.1.11),12.55,
9,6gkb.by,"
 

Лабораторная диагностика

",Пипетирование полуавтоматическими дозаторами,0.11,
10,6gkb.by,"
 

Лабораторная диагностика

",Пипетирование автоматическими дозаторами,0.08,
11,6gkb.by,"
 

Лабораторная диагностика

","Регистрация (предварительная и окончательная) материала, паспортных данных пациента и результатов исследования в журналах и банках или ПЭВМ*",1.15,
12,6gkb.by,"
 

Лабораторная диагностика

",Регистрация (предоставление результатов по электронной почте)*,0.62,
13,6gkb.by,"
 

Лабораторная диагностика

",Наименование услуги,Общая стоимость,
14,6gkb.by,"
 

Лабораторная диагностика

",2,6,
15,6gkb.by,"
 

Лабораторная диагностика

","Взятие крови из пальца для всего спектра гематологических исследований в понятии ""общий анализ крови"", включая лейкоцитарную формулу",3.64,
16,6gkb.by,"
 

Лабораторная диагностика

",Взятие крови из пальца (антитела),1.33,
17,6gkb.by,"
 

Лабораторная диагностика

",Регистрация + обработка венозной крови для получения плазмы или сыворотки *,1.69,
18,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (биохимический анализ крови, ОАК)*",2.05,
19,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (биохимический анализ крови, ОАК)**",2.05,
20,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (биохимический анализ крови, ОАК)***",2.05,
21,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (биохимический анализ крови, ОАК)****",2.05,
22,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (гемостазиограмма, МНО и другие отдельные показатели свёртывающей системы)",1.97,
23,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (группа крови, резус-фактор, антитела)",2.92,
24,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (иммунохимия, гормоны, онкомаркеры, ИФА (хламидии, АФС, аутоиммунные тесты))*",1.97,
25,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (иммунохимия, гормоны, онкомаркеры, ИФА (хламидии, АФС, аутоиммунные тесты))**",1.97,
26,6gkb.by,"
 

Лабораторная диагностика

","Забор крови из вены (гликированный гемоглобин,кардиотриада))",1.97,
27,6gkb.by,"
 

Лабораторная диагностика

",Обработка венозной крови для получения плазмы или сыворотки*,0.54,
28,6gkb.by,"
 

Лабораторная диагностика

",Обнаружение глюкозы экспесс-тестом в моче,1.39,
29,6gkb.by,"
 

Лабораторная диагностика

",Обнаружение белка экспесс-тестом в моче,1.39,
30,6gkb.by,"
 

Лабораторная диагностика

",Определение белка с сульфациловой кислотой в моче*,1.46,
