,source,chapter,analysis_name,analysis_cost,analysis_comment
0,invitro.by,,"Экспресс-тест. Антиген SARS-CoV-2 в мазке из носоглотки, качественное определение",29 руб. 14 коп.,
1,invitro.by,,"Экспресс-тест. Антиген SARS-CoV-2 в мазке из носоглотки, качественное определение",34 руб. 15 коп.,
2,invitro.by,,"Антитела, количественные, к спайковому (S) белку SARS-CoV-2, IgG",28 руб. 53 коп.,
3,invitro.by,,"Коронавирус SARS-CoV-2, определение РНК, кач., в мазке со слизистой носоглотки и/или ротоглотки (Coronavirus SARS-CoV-2 RNA detection, qualitative, in nasopharyngeal and/or oropharyngeal smear) для выезда за границу",51 руб. 09 коп.,
4,invitro.by,,"Антитела к спайковому (S) белку SARS-CoV-2, IgG, качественное определение. Оценка иммунитета до и после вакцинации (anti-SARS-CoV-2 S (spike) protein antibody, IgG, qualitative. Assessment of immunity before and after vaccination)",15 руб. 82 коп.,
5,invitro.by,,Определение РНК SARS-CoV-2 в мазке со слизистой носоглотки и/или ротоглотки,49 руб. 09 коп.,
6,invitro.by,,"Антитела к коронавирусу SARS-CoV-2, IgM (anti-SARS-CoV-2, IgM)",27 руб. 69 коп.,
7,invitro.by,,"Клинический анализ крови: общий анализ, лейкоформула, СОЭ",9 руб. 31 коп.,
8,invitro.by,,Общий анализ крови (без лейкоцитарной формулы и СОЭ),6 руб. 64 коп.,
9,invitro.by,,СОЭ (Cкорость Оседания Эритроцитов),1 руб. 27 коп.,
10,invitro.by,,Ретикулоциты,4 руб. 70 коп.,
11,invitro.by,,Электрофорез гемоглобина (Hemoglobin Electrophoresis),133 руб. 46 коп.,
12,invitro.by,,"Клинический анализ крови: общий анализ, лейкоформула, СОЭ (с обязательной «ручной» микроскопией мазка крови*)",12 руб. 79 коп.,
13,invitro.by,,"Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма, Differential White Blood Cell Count) с обязательной «ручной» микроскопией мазка крови",4 руб. 88 коп.,
14,invitro.by,,"Группа крови (Blood group, АВ0) и резус-принадлежность (Rh-factor, Rh)",16 руб. 42 коп.,
15,invitro.by,,"Rh (C, E, c, e), Kell – фенотипирование (Rh C, E, c, e, Kell phenotyping)",32 руб. 10 коп.,
16,invitro.by,,Аллоиммунные антитела,26 руб. 47 коп.,
17,invitro.by,,АЧТВ,8 руб. 86 коп.,
18,invitro.by,,"Протромбин, МНО (протромбиновое время)",8 руб. 23 коп.,
19,invitro.by,,Тромбиновое время,8 руб. 52 коп.,
20,invitro.by,,Фибриноген,9 руб. 55 коп.,
21,invitro.by,,D-димер,27 руб. 74 коп.,
22,invitro.by,,Антитромбин III,16 руб. 40 коп.,
23,invitro.by,,Волчаночный антикоагулянт,44 руб. 58 коп.,
24,invitro.by,,"Фактор Виллебранда, антиген (Von Willebrand factor, VWF, antigen)",56 руб. 32 коп.,
25,invitro.by,,"Фактор свертывания IX, активность, % (FIX активность, фактор Кристмаса, Coagulation Factor IX Activity, %, Christmas Factor)",27 руб. 39 коп.,
26,invitro.by,,"Фактор VIII, активность % (Factor VIII, FVIII, Activity %)",24 руб. 79 коп.,
27,invitro.by,,"Анти-Ха активность, МЕ/мл (Гепарин, концентрация, anti-Xa activity, IU/ml, Heparin concentration, IU/ml)",49 руб. 92 коп.,
28,invitro.by,,Протеин S свободный (Protein S),111 руб. 24 коп.,
29,invitro.by,,"Протеин C, % активности (Protein C, % Activity)",85 руб. 55 коп.,
30,invitro.by,,"Хромогранин А (Chromogranin A, CgA)",50 руб. 52 коп.,
31,invitro.by,,Глюкоза (в крови),2 руб. 58 коп.,
32,invitro.by,,Глюкоза (в моче),3 руб. 59 коп.,
33,invitro.by,,Фруктозамин,25 руб. 06 коп.,
34,invitro.by,,Гликированный гемоглобин,27 руб. 48 коп.,
35,invitro.by,,Глюкозо-толерантный тест (с определением глюкозы из плазмы),5 руб. 04 коп.,
36,invitro.by,,Глюкозотолерантный тест с определением глюкозы и С-пептида в венозной крови натощак и после нагрузки через 2 часа,62 руб. 58 коп.,
37,invitro.by,,Лактат,6 руб. 67 коп.,
38,invitro.by,,Глюкозотолерантный тест при беременности,7 руб. 56 коп.,
