,clinic_id,Клиника,Город,Улица,Дом,Телефоны
0,0.0,Лодэ,Минск,Независимости,58А,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00"
1,0.0,Лодэ,Минск,Независимости,95,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00"
2,0.0,Лодэ,Минск,Гикало,1,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00"
3,0.0,Лодэ,Минск,ул.Притыцкого,140,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00"
4,0.0,Лодэ,Минск,Победителей,133,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00"
5,1.0,Helix,Минск, Логойский тракт, 15/2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
6,1.0,Helix,Минск, Партизанский проспект, 56 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
7,1.0,Helix,Минск, проспект Дзержинского, 119 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
8,1.0,Helix,Минск, проспект Дзержинского, 123 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
9,1.0,Helix,Минск, проспект Дзержинского, 19 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
10,1.0,Helix,Минск, проспект Дзержинского, 82 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
11,1.0,Helix,Минск, проспект Независимости, 168/3 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
12,1.0,Helix,Минск, проспект Независимости, 185 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
13,1.0,Helix,Минск, проспект Независимости, 38 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
14,1.0,Helix,Минск, проспект Независимости, 44 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
15,1.0,Helix,Минск, проспект Независимости, 91 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88"
