,clinic_id,Клиника,Город,Улица,Дом,Телефоны,адрес,lat,lng
0,Лодэ,Лодэ,Минск,Независимости,58А,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00","Минск, Независимости, 58А",53.9183335,27.5903405
1,Лодэ,Лодэ,Минск,Независимости,95,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00","Минск, Независимости, 95",53.9094299,27.5770117
2,Лодэ,Лодэ,Минск,Гикало,1,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00","Минск, Гикало, 1",53.9165023,27.5870737
3,Лодэ,Лодэ,Минск,ул.Притыцкого,140,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00","Минск, ул.Притыцкого, 140",53.9069868,27.4465599
4,Лодэ,Лодэ,Минск,Победителей,133,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00","Минск, Победителей, 133",53.9360711,27.48161454899408
5,Хеликс,Helix,Минск, Логойский тракт, 15/2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  Логойский тракт,  15/2 ",53.9437735,27.6091703
6,Хеликс,Helix,Минск, Партизанский проспект, 56 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  Партизанский проспект,  56 ",53.8740339,27.6307805
7,Хеликс,Helix,Минск, проспект Дзержинского, 119 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Дзержинского,  119 ",53.8921384,27.529001076397655
8,Хеликс,Helix,Минск, проспект Дзержинского, 123 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Дзержинского,  123 ",53.8509284,27.476528
9,Хеликс,Helix,Минск, проспект Дзержинского, 19 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Дзержинского,  19 ",53.886204,27.5159836
10,Хеликс,Helix,Минск, проспект Дзержинского, 82 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Дзержинского,  82 ",53.8678784,27.4864266
11,Хеликс,Helix,Минск, проспект Независимости, 168/3 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Независимости,  168/3 ",53.9457464,27.6934061
12,Хеликс,Helix,Минск, проспект Независимости, 185 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Независимости,  185 ",53.8969066,27.5509108
13,Хеликс,Helix,Минск, проспект Независимости, 38 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88","Минск,  проспект Независимости,  38 ",53.9112413,27.5802728
