,source,chapter,analysis_name,analysis_cost,analysis_comment
0,diaglab.by,https://diaglab.by/biochemical-test/, Определение железа в сыворотке крови,2.12 руб.,"('Артикул: 1033', 'https://diaglab.by/iron/', '1 рабочий день (не включая день взятия биоматериала) ')"
1,diaglab.by,https://diaglab.by/biochemical-test/, Определение магния в сыворотке крови,1.68 руб.,"('Артикул: 1031', 'https://diaglab.by/magnesium/', '1 рабочий день (не включая день взятия биоматериала) ')"
2,diaglab.by,https://diaglab.by/biochemical-test/," Определение электролитов в сыворотке крови: Калий (К+, Potassium), Натрий (Na+, Sodium), Хлор (Сl-, Chloride)",3.98 руб.,"('Артикул: 1027', 'https://diaglab.by/elektrolity/', '1 рабочий день (не включая день взятия биоматериала) ')"
3,diaglab.by,https://diaglab.by/biochemical-test/, Определение глюкозы в сыворотке крови,1.54 руб.,"('Артикул: 1008', 'https://diaglab.by/glucosae/', '1 рабочий день (не включая день взятия биоматериала) ')"
4,diaglab.by,https://diaglab.by/biochemical-test/, Определение Кальция общего в сыворотке крови,1.55 руб.,"('Артикул: 1028', 'https://diaglab.by/calcium-total/', '1 рабочий день (не включая день взятия биоматериала) ')"
5,diaglab.by,https://diaglab.by/biochemical-test/, Определение холестерина общего в сыворотке крови,2.36 руб.,"('Артикул: 1021', 'https://diaglab.by/cholesterol/', '1 рабочий день (не включая день взятия биоматериала) ')"
6,diaglab.by,https://diaglab.by/biochemical-test/, Определение фосфора неорганического в сыворотке крови,1.96 руб.,"('Артикул: 1032', 'https://diaglab.by/phosphate-inorganic/', '1 рабочий день (не включая день взятия биоматериала) ')"
7,diaglab.by,https://diaglab.by/biochemical-test/, Определение аланинаминотрансферазы в сыворотке крови,1.87 руб.,"('Артикул: 1010', 'https://diaglab.by/alt/', '1 рабочий день (не включая день взятия биоматериала) ')"
8,diaglab.by,https://diaglab.by/biochemical-test/, Определение аспартатаминотрансферазы в сыворотке крови,1.73 руб.,"('Артикул: 1009', 'https://diaglab.by/ast/', '1 рабочий день (не включая день взятия биоматериала) ')"
9,diaglab.by,https://diaglab.by/biochemical-test/, Определение общего билирубина в сыворотке крови,1.95 руб.,"('Артикул: 1003', 'https://diaglab.by/bilirubin-total/', '1 рабочий день (не включая день взятия биоматериала) ')"
10,diaglab.by,https://diaglab.by/biochemical-test/, Определение общего белка в сыворотке крови.,1.73 руб.,"('Артикул: 1001', 'https://diaglab.by/total-protein/', '1 рабочий день (не включая день взятия биоматериала) ')"
11,diaglab.by,https://diaglab.by/biochemical-test/, Определение креатинина в сыворотке крови,1.98 руб.,"('Артикул: 1006', 'https://diaglab.by/creatinine/', '1 рабочий день (не включая день взятия биоматериала) ')"
12,diaglab.by,https://diaglab.by/biochemical-test/, Определение мочевины в сыворотке крови,2.12 руб.,"('Артикул: 1005', 'https://diaglab.by/urea/', '1 рабочий день (не включая день взятия биоматериала) ')"
13,diaglab.by,https://diaglab.by/biochemical-test/, Определение щелочной фосфатазы в сыворотке крови,2.40 руб.,"('Артикул: 1013', 'https://diaglab.by/alp/', '1 рабочий день (не включая день взятия биоматериала) ')"
14,diaglab.by,https://diaglab.by/biochemical-test/, Определение Ферритина в сыворотке крови,9.30 руб.,"('Артикул: 1057', 'https://diaglab.by/ferritin/', '1 рабочий день (не включая день взятия биоматериала) ')"
15,diaglab.by,https://diaglab.by/biochemical-test/, Определение триглицеридов в сыворотке крови,2.15 руб.,"('Артикул: 1022', 'https://diaglab.by/triglycerides/', '1 рабочий день (не включая день взятия биоматериала) ')"
16,diaglab.by,https://diaglab.by/biochemical-test/, Определение Липопротеидов низкой плотности в сыворотке крови,3.32 руб.,"('Артикул: 1024', 'https://diaglab.by/ldl-cholesterol/', '1 рабочий день (не включая день взятия биоматериала) ')"
17,diaglab.by,https://diaglab.by/biochemical-test/, Определение Липопротеидов высокой плотности в сыворотке крови,3.05 руб.,"('Артикул: 1023', 'https://diaglab.by/hdl-cholesterol/', '1 рабочий день (не включая день взятия биоматериала) ')"
18,diaglab.by,https://diaglab.by/biochemical-test/, Определение амилазы общей в сыворотке крови,3.11 руб.,"('Артикул: 1011', 'https://diaglab.by/total-amylase/', '1 рабочий день (не включая день взятия биоматериала) ')"
