,source,chapter,analysis_name,analysis_cost,analysis_comment
0,invitro.by,,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение",29.14,
1,invitro.by,,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение",34.15,
2,invitro.by,,"антитела, количественные, к спайковому s белку sars-cov-2, igg",28.53,
3,invitro.by,,"коронавирус sars-cov-2, определение рнк, кач, в мазке со слизистой носоглотки и/или ротоглотки coronavirus sars-cov-2 rna detection, qualitative, in nasopharyngeal and/or oropharyngeal smear для выезда за границу",51.09,
4,invitro.by,,"антитела к спайковому s белку sars-cov-2, igg, качественное определение оценка иммунитета до и после вакцинации anti-sars-cov-2 s spike protein antibody, igg, qualitative assessment of immunity before and after vaccination",15.82,
5,invitro.by,,определение рнк sars-cov-2 в мазке со слизистой носоглотки и/или ротоглотки,49.09,
6,invitro.by,,"антитела к коронавирусу sars-cov-2, igm anti-sars-cov-2, igm",27.69,
7,invitro.by,,"клинический анализ крови: общий анализ, лейкоформула, соэ",9.31,
8,invitro.by,,общий анализ крови без лейкоцитарной формулы и соэ,6.64,
9,invitro.by,,соэ cкорость оседания эритроцитов,1.27,
10,invitro.by,,ретикулоциты,4.7,
11,invitro.by,,электрофорез гемоглобина hemoglobin electrophoresis,133.46,
12,invitro.by,,"клинический анализ крови: общий анализ, лейкоформула, соэ с обязательной «ручной» микроскопией мазка крови",12.79,
13,invitro.by,,"лейкоцитарная формула дифференцированный подсчет лейкоцитов, лейкоцитограмма, differential white blood cell count с обязательной «ручной» микроскопией мазка крови",4.88,
14,invitro.by,,"группа крови blood group, ав0 и резус-принадлежность rh-factor, rh",16.42,
15,invitro.by,,"rh c, e, c, e, kell – фенотипирование rh c, e, c, e, kell phenotyping",32.1,
16,invitro.by,,аллоиммунные антитела,26.47,
17,invitro.by,,ачтв,8.86,
18,invitro.by,,"протромбин, мно протромбиновое время",8.23,
19,invitro.by,,тромбиновое время,8.52,
20,invitro.by,,фибриноген,9.55,
21,invitro.by,,d-димер,27.74,
22,invitro.by,,антитромбин iii,16.4,
23,invitro.by,,волчаночный антикоагулянт,44.58,
24,invitro.by,,"фактор виллебранда, антиген von willebrand factor, vwf, antigen",56.32,
25,invitro.by,,"фактор свертывания ix, активность, % fix активность, фактор кристмаса, coagulation factor ix activity, %, christmas factor",27.39,
26,invitro.by,,"фактор viii, активность % factor viii, fviii, activity %",24.79,
27,invitro.by,,"анти-ха активность, ме/мл гепарин, концентрация, anti-xa activity, iu/ml, heparin concentration, iu/ml",49.92,
28,invitro.by,,протеин s свободный protein s,111.24,
29,invitro.by,,"протеин c, % активности protein c, % activity",85.55,
30,invitro.by,,"хромогранин а chromogranin a, cga",50.52,
31,invitro.by,,глюкоза в крови,2.58,
32,invitro.by,,глюкоза в моче,3.59,
33,invitro.by,,фруктозамин,25.06,
34,invitro.by,,гликированный гемоглобин,27.48,
35,invitro.by,,глюкозо-толерантный тест с определением глюкозы из плазмы,5.04,
36,invitro.by,,глюкозотолерантный тест с определением глюкозы и с-пептида в венозной крови натощак и после нагрузки через 2 часа,62.58,
37,invitro.by,,лактат,6.67,
38,invitro.by,,глюкозотолерантный тест при беременности,7.56,
39,invitro.by,,"аминокислоты мочи, 31 показатель amino acids, random urine",232.26,
40,invitro.by,,"аминокислоты в плазме крови, 48 показателей amino acids analysis, plasma, 48 parameters",235.3,
41,invitro.by,,"аминокислоты в плазме крови, скрининговое исследование 13 показателей amino acids analysis, plasma, 13 parameters",136.97,
42,invitro.by,,"м-градиент, типирование электрофорез сыворотки крови и иммунофиксация с панелью антисывороток igg/a/m/каппа/лямбда c количественной оценкой м-градиента",92.72,
43,invitro.by,,"м-градиент, скрининг электрофорез сыворотки и иммунофиксация с поливалентной антисывороткой и количественной оценкой м-градиента",47.41,
44,invitro.by,,общий белок в крови,2.86,
45,invitro.by,,альбумин в крови,2.71,
46,invitro.by,,альбумин в моче albumin,4.07,
47,invitro.by,,общий белок в моче,2.83,
48,invitro.by,,гомоцистеин,38.14,
49,invitro.by,,белковые фракции,6.05,
50,invitro.by,,метаболический синдром,17.41,
