,Unnamed: 0,Клиника,Город,Улица,Дом,Телефоны,lat,lng
0,0,Лодэ,Минск,Независимости,58А,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00",53.918069,27.589568
1,1,Лодэ,Минск,Независимости,95,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00",53.926137,27.618884
2,2,Лодэ,Минск,Гикало,1,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00",53.91649,27.587197
3,3,Лодэ,Минск,ул.Притыцкого,140,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00",53.835117,27.623891
4,4,Лодэ,Минск,Победителей,133,"+375 (29) 638-30-03, +375 (29) 270-10-03, +375 (17) 293-98-00",53.941636,27.46427
5,5,Helix,Минск, Логойский тракт, 15/2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.939183,27.607024
6,6,Helix,Минск, Партизанский проспект, 56 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.873951,27.630913
7,7,Helix,Минск, проспект Дзержинского, 119 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.850573,27.476375
8,8,Helix,Минск, проспект Дзержинского, 123 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.847879,27.477278
9,9,Helix,Минск, проспект Дзержинского, 19 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.886397,27.516389
10,10,Helix,Минск, проспект Дзержинского, 82 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.867973,27.486513
11,11,Helix,Минск, проспект Независимости, 168/3 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.89624,27.549637
12,12,Helix,Минск, проспект Независимости, 185 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.947653,27.692791
13,13,Helix,Минск, проспект Независимости, 38 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.907883,27.5755
14,14,Helix,Минск, проспект Независимости, 44 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.910769,27.578609
15,15,Helix,Минск, проспект Независимости, 91 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.925411,27.611097
16,16,Helix,Минск, проспект Победителей, 73/1 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.905049,27.552697
17,17,Helix,Минск, проспект Рокоссовского, 123б ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.856981,27.612863
18,18,Helix,Минск, улица В.Хоружей, 10/2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.884546,27.256227
19,19,Helix,Минск, улица Воронянского, 40 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.877595,27.545589
20,20,Helix,Минск, улица Гамарника, 16A ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.957396,27.615917
21,21,Helix,Минск, улица Гинтовта, 12А ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.948315,27.672709
22,22,Helix,Минск, улица Голубева, 19 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.864711,27.469857
23,23,Helix,Минск, улица Ефросиньи Полоцкой, 1 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.907376,27.47396
24,24,Helix,Минск, улица Космонавтов, 6 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",54.002682,27.549512
25,25,Helix,Минск, улица Максима Танка, 2 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.906395,27.540841
26,26,Helix,Минск, улица Матусевича, 58 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.917541,27.458878
27,27,Helix,Минск, улица Маяковского, 129A,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.860385,27.573676
28,28,Helix,Минск, улица Петра Мстиславца, 13 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.934628,27.654995
29,29,Helix,Минск, улица Притыцкого, 77 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.905306,27.458092
30,30,Helix,Минск, улица Притыцкого, 97 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.906396,27.436418
31,31,Helix,Минск, улица Притыцкого, 97 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.906396,27.436418
32,32,Helix,Минск, улица Прушинских, 7 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.837738,27.589396
33,33,Helix,Минск, улица Ратомская, 7 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.941428,27.458543
34,34,Helix,Минск, улица Свердлова, 26 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.892249,27.555933
35,35,Helix,Минск, улица Скрипникова, 1 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.887746,27.420934
36,36,Helix,Гомель, улица 60 лет СССР, 14А ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",52.405265,30.982684
37,37,Helix,Гомель, улица Крестьянская, 1А ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.13796,30.786782
38,38,Helix,Гомель, улица Мазурова, 44 ,"7766 (МТС, life:), А1), +375 (17) 338 88 88",52.452969,31.02327
39,39,Helix,Гомель, улица Чапаева, 10A,"7766 (МТС, life:), А1), +375 (17) 338 88 88",53.016497,29.761263
40,40,Синлаб,Минск, ул. Академическая, 26,"(017) 378-33-35, (017) 378-33-38",53.90973,27.609497
41,41,Синлаб,Минск, ул. Притыцкого, 158,"(017) 393-30-64, (017) 393-30-65 ",53.908486,27.427755
42,42,Синлаб,Минск, ул. Неманская,3,"(017) 388-49-50, (017) 388-49-51  ",53.909669,27.419901
43,43,Синлаб,Минск, ул. Уманская, 54,(017) 220-49-23 ,53.874781,27.498467
44,44,Синлаб,Минск, ул. Братская,6,"(017) 37-35-888, (017) 37-34-888, A1 (029) 634-53-59, МТС (029) 852-16-70",53.870123,27.552727
45,45,Синлаб, Гомель, ул. Брестская, 2,"(0232) 20-86-73, (0232) 26-45-08, A1 (029) 149-05-50, МТС (029) 566-74-94",52.255709,30.496992
