,synonyms,analysis
0,"анализ крови на глюкозу глюкоза в плазме или сыворотке крови сахар крови глюкоза в крови анализ глюкозы в крови натощак анализ сахара в крови glucose, plasma or serum fasting blood glucose fbg fasting plasma glucose blood glucose blood sugar fasting blood sugar fbs",глюкоза в крови glucose
1,анализ крови на гликированный гемоглобин glycohemoglobin hba1c hemoglobin a1c a1c hgba1c hb1c,"гликированный гемоглобин hba1с, glycated hemoglobin"
2,анализ крови на фруктозамин гликозилированный белок сыворотки,фруктозамин fructosamine
3,анализ крови на гтт пероральный глюкозотолерантный тест пгтт тест на толерантность к глюкозе проба с 75 граммами глюкозы,глюкозотолерантный тест с определением глюкозы в венозной крови натощак и после нагрузки через 2 часа
4,анализ крови на толерантность к глюкозе с с-пептидом пероральный глюкозотолерантный тест с с-пептидом тест на толерантность к глюкозе с с-пептидом,глюкозотолерантный тест с определением глюкозы и с-пептида в венозной крови натощак и через 2 часа после углеводной нагрузки
5,анализ крови на гтб при беременности пероральный глюкозотолерантный тест пгтт тест на толерантность к глюкозе проба с 75 граммами глюкозы,глюкозотолерантный тест при беременности
6,молочная кислота соли молочной кислоты,"лактат молочная кислота, lactate"
7,общий белок сыворотки крови общий сывороточный белок,общий белок в крови protein total
8,общий гомоцистеин плазмы hcy plasma total homocysteine,гомоцистеин homocysteine
9,электрофорез белков сыворотки spep,"белковые фракции serum protein electrophoresis, spe"
10,"скрининг парапротеинов в сыворотке, иммунофиксация м-градиента","м-градиент, скрининг электрофорез сыворотки и иммунофиксация с поливалентной антисывороткой и количественной оценкой м-градиента"
11,электрофоретическое разделение белков сыворотки крови клинический электрофорез и иммунофиксация парапротеины м-градиент в сыворотке крови,"м-градиент, типирование электрофорез сыворотки крови и иммунофиксация с панелью антисывороток igg/a/m/каппа/лямбда c количественной оценкой м-градиента"
12,aнализ крови на аминокислоты 13 аналитов,"аминокислоты в плазме крови, скрининговое исследование 13 показателей amino acids analysis, plasma, 13 parameters"
13,aнализ крови на аминокислоты 48 аналитов,"аминокислоты в плазме крови, 48 показателей amino acids analysis, plasma, 48 parameters"
