,Unnamed: 0,index,source,chapter,analysis_name,analysis_cost,analysis_comment,best_match_synonym,best_match_analysis,similarity
0,0,0,6gkb.by,Лабораторная диагностика,определение осмотической резистентности эритроцитов фотометрическим методом,19.7,,,,0.5901764329539949
1,1,1,6gkb.by,Лабораторная диагностика,гемостазиограмма пункты 12 + 141 + 15 + 6401 + 6402 + 6403 + 664*,33.41,,,,0.584549549728375
2,2,2,6gkb.by,Лабораторная диагностика,копрограмма пункты 12 + 281 + 282 + 283,11.91,,,,0.6210364278357783
3,3,3,6gkb.by,Лабораторная диагностика,общий анализ крови с тромбоцитами пункты 12+ 14+ 37+ 391+ 3263 + 361*,15.12,,,,0.33268966540807954
4,4,4,6gkb.by,Лабораторная диагностика,общий анализ крови пункты 12+ 14+ 37+ 391+ 3263,11.78,,,,0.42899692325493577
5,5,5,6gkb.by,Лабораторная диагностика,общий анализ мочи пункты 1 2 + 2 1 9 + 2 1 4 1 + 2 110 1*,5.51,,"клинический анализ мочи оам complete urinalysis urinalysis, complete with microscopic examination urinalysis complete urn",анализ мочи общий анализ мочи с микроскопией осадка,0.7028939401061064
6,6,6,6gkb.by,Лабораторная диагностика,"определение групп крови по системе а в о перекрестным способом, определение резус-фактора  п12+п142+п15+п72*",13.04,,,,0.4689555926962851
7,7,7,6gkb.by,Лабораторная диагностика,проба реберга пункты 12 + 14 + 15 + 513313х2,6.36,,,,0.5173464560891816
8,8,8,6gkb.by,Лабораторная диагностика,скрининг-тест для определения сифилиса rpr-carbon п12+п 143+ п15+ п8179111,12.55,,,,0.4230312251875309
9,9,9,6gkb.by,Лабораторная диагностика,пипетирование полуавтоматическими дозаторами,0.11,,,,0.0
10,10,10,6gkb.by,Лабораторная диагностика,пипетирование автоматическими дозаторами,0.08,,,,0.0
11,11,11,6gkb.by,Лабораторная диагностика,"регистрация предварительная и окончательная материала, паспортных данных пациента и результатов исследования в журналах и банках или пэвм*",1.15,,,,0.2780349665786687
12,12,12,6gkb.by,Лабораторная диагностика,регистрация предоставление результатов по электронной почте*,0.62,,,,0.27402093450093373
13,13,13,6gkb.by,Лабораторная диагностика,"взятие крови из пальца для всего спектра гематологических исследований в понятии ""общий анализ крови"", включая лейкоцитарную формулу",3.64,,,,0.47610651261951253
14,14,14,6gkb.by,Лабораторная диагностика,взятие крови из пальца антитела,1.33,,,,0.18832860004166357
15,15,15,6gkb.by,Лабораторная диагностика,регистрация + обработка венозной крови для получения плазмы или сыворотки *,1.69,,,,0.33219246814954867
16,16,16,6gkb.by,Лабораторная диагностика,"забор крови из вены биохимический анализ крови, оак*",2.05,,,,0.3195410753016102
17,17,17,6gkb.by,Лабораторная диагностика,"забор крови из вены биохимический анализ крови, оак**",2.05,,,,0.3195410753016102
18,18,18,6gkb.by,Лабораторная диагностика,"забор крови из вены биохимический анализ крови, оак***",2.05,,,,0.3195410753016102
19,19,19,6gkb.by,Лабораторная диагностика,"забор крови из вены биохимический анализ крови, оак****",2.05,,,,0.3195410753016102
20,20,20,6gkb.by,Лабораторная диагностика,"забор крови из вены гемостазиограмма, мно и другие отдельные показатели свёртывающей системы",1.97,,,,0.2983008536547781
21,21,21,6gkb.by,Лабораторная диагностика,"забор крови из вены группа крови, резус-фактор, антитела",2.92,,,,0.4378848170502021
22,22,22,6gkb.by,Лабораторная диагностика,"забор крови из вены иммунохимия, гормоны, онкомаркеры, ифа хламидии, афс, аутоиммунные тесты*",1.97,,,,0.28113772156438777
23,23,23,6gkb.by,Лабораторная диагностика,"забор крови из вены иммунохимия, гормоны, онкомаркеры, ифа хламидии, афс, аутоиммунные тесты**",1.97,,,,0.28113772156438777
24,24,24,6gkb.by,Лабораторная диагностика,"забор крови из вены гликированный гемоглобин,кардиотриада",1.97,,,,0.5834219520811087
25,25,25,6gkb.by,Лабораторная диагностика,обработка венозной крови для получения плазмы или сыворотки*,0.54,,,,0.33219246814954867
26,26,26,6gkb.by,Лабораторная диагностика,обнаружение глюкозы экспесс-тестом в моче,1.39,,,,0.4478430354170513
27,27,27,6gkb.by,Лабораторная диагностика,обнаружение белка экспесс-тестом в моче,1.39,,,,0.40038131530847576
28,28,28,6gkb.by,Лабораторная диагностика,определение белка с сульфациловой кислотой в моче*,1.46,,,,0.3692790218403539
29,29,29,6gkb.by,Лабораторная диагностика,обнаружение кетоновых тел экспресс-тестом в моче,1.39,,,,0.24974423279794752
30,30,30,6gkb.by,Лабораторная диагностика,обнаружение билирубина экспресс-тестом в моче,1.39,,,,0.41152429400596613
31,31,31,6gkb.by,Лабораторная диагностика,обнаружение уробилиновых тел экспресс-тестом в моче,1.39,,,,0.24974423279794752
32,32,32,6gkb.by,Лабораторная диагностика,исследование комплекса параметров общего анализа мочи посредством полуавтоматических анализаторов на основе методов сухой химии,1.73,,,,0.3412512129364968
