,Unnamed: 0,source,chapter,analysis_name,analysis_cost,analysis_comment,best_match_synonym,best_match_analysis,similarity,clinic_id
0,0,invitro.by,,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение",29.14,,анализ мазка из носоглотки на антиген к новому коронавирусу мазок из носоглотки для качественного определения антигена sars-cov-2 выявление антигена sars-cov-2 в мазках носоглотки качественно качественное определение антигена к коронавирусу sars-cov-2 в мазках со слизистой носоглотки антиген вируса sars-cov-2 в биоматериале мазка из носоглотки,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение sars-cov-2 antigen, qualitative",0.8924195382088177,Инвитро
1,1,invitro.by,,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение",34.15,,анализ мазка из носоглотки на антиген к новому коронавирусу мазок из носоглотки для качественного определения антигена sars-cov-2 выявление антигена sars-cov-2 в мазках носоглотки качественно качественное определение антигена к коронавирусу sars-cov-2 в мазках со слизистой носоглотки антиген вируса sars-cov-2 в биоматериале мазка из носоглотки,"экспресс-тест антиген sars-cov-2 в мазке из носоглотки, качественное определение sars-cov-2 antigen, qualitative",0.8924195382088177,Инвитро
2,2,invitro.by,,"антитела, количественные, к спайковому s белку sars-cov-2, igg",28.53,,"анализ крови на антитела к sars-cov-2 s-белку, включая rbd, igg, количественное определение антитела класса g к sars-cov-2 s-белку и rbd, количественно anti-sars-cov-2 s protein, including rbd, igg, quantitative anti-sars-cov-2, spike s protein rbd, igg, quantitative","антитела, количественные, к спайковому s белку sars-cov-2, igg  anti-sars-cov-2, spike s protein, igg, quantitative",0.8477322800281557,Инвитро
3,3,invitro.by,,"коронавирус sars-cov-2, определение рнк, кач, в мазке со слизистой носоглотки и/или ротоглотки coronavirus sars-cov-2 rna detection, qualitative, in nasopharyngeal and/or oropharyngeal smear для выезда за границу",51.09,,ковид-19 новая коронавирусная инфекция рнк нового коронавируса рнк sars-cov-2 в мазке со слизистой носоглотки и/или ротоглотки,"пцр-тест на коронавирус sars-cov-2, мазок pcr, coronavirus sars-cov-2, nasopharyngeal and oropharyngeal smear",0.6270045576902198,Инвитро
4,4,invitro.by,,"антитела к спайковому s белку sars-cov-2, igg, качественное определение оценка иммунитета до и после вакцинации anti-sars-cov-2 s spike protein antibody, igg, qualitative assessment of immunity before and after vaccination",15.82,,выявление igg к спайковому s белку sars-cov-2 качественный анализ после covid-19 и для оценки эффективности вакцинации вакцинным препаратом на основе rbd-домена,"антитела, качественные, к спайковому s белку sars-cov-2, igg;  аnti-sars-cov-2 s spike protein antibody, igg, qualitative",0.8203368911870694,Инвитро
5,5,invitro.by,,определение рнк sars-cov-2 в мазке со слизистой носоглотки и/или ротоглотки,49.09,,,,0.4897650432826456,Инвитро
6,6,invitro.by,,"антитела к коронавирусу sars-cov-2, igm anti-sars-cov-2, igm",27.69,,"igm антитела к вирусу, вызывающему covid-19 иммуноглобулины класса м к антигенам вируса sars-cov-2 качественный анализ на антитела класса м igм к sars-cov-2","антитела, качественные, к спайковому s белку sars-cov-2, igm; anti-sars-cov-2, s spike protein, qualitative, igm",0.7551047969284423,Инвитро
7,7,invitro.by,,"клинический анализ крови: общий анализ, лейкоформула, соэ",9.31,,общий анализ крови оак гемограмма как развернутый анализ крови full blood count fbc complete blood count cbc hemogram cbc with white blood cell differential count peripheral blood smear blood film examination complete blood count cbc with differential white blood cell count cbc with diff,"клинический анализ крови: общий анализ, лейкоформула, соэ с обязательной «ручной» микроскопией мазка крови  ",0.8007894285112078,Инвитро
8,8,invitro.by,,общий анализ крови без лейкоцитарной формулы и соэ,6.64,,оак cbc without differential,"анализ крови общий анализ крови без лейкоцитарной формулы и соэ complete blood count, cbc",0.7757303991888717,Инвитро
9,9,invitro.by,,соэ cкорость оседания эритроцитов,1.27,,реакция оседания эритроцитов роэ,"соэ cкорость оседания эритроцитов, esr",0.8948557453165311,Инвитро
10,10,invitro.by,,ретикулоциты,4.7,,анализ крови на ретикулоциты количество ретикулоцитов подсчет количества ретикулоцитов ретикулоцитарный индекс,ретикулоциты reticulocytes,0.7071067811865476,Инвитро
11,11,invitro.by,,электрофорез гемоглобина hemoglobin electrophoresis,133.46,,анализ крови на измененный гемоглобин электрофорез фракций гемоглобина выявление патологических фракций гемоглобина,электрофорез гемоглобина hemoglobin electrophoresis,1.0,Инвитро
12,12,invitro.by,,"клинический анализ крови: общий анализ, лейкоформула, соэ с обязательной «ручной» микроскопией мазка крови",12.79,,общий анализ крови оак гемограмма как развернутый анализ крови full blood count fbc complete blood count cbc hemogram cbc with white blood cell differential count peripheral blood smear blood film examination complete blood count cbc with differential white blood cell count cbc with diff,"клинический анализ крови: общий анализ, лейкоформула, соэ с обязательной «ручной» микроскопией мазка крови  ",1.0,Инвитро
