,analysis_name,best_match_synonym,best_match_analysis,match_score,IoU
0,аппаратное удаление ногтей,,,0.0,0.0
1,аппаратное удаление пораженной ногтевой пластинки большого пальца стопы или кисти.,,,0.41808993819209594,0.043478260869565216
2,аппаратное удаление одной пораженной ногтевой пластинки стопы или кисти.,,,0.41808993819209594,0.045454545454545456
3,механическое удаление пораженных частей ногтевой пластинки пальца стопы (кисти)при онихомикозе.,,,0.444242277805225,0.0
4,комплект на 1 человека,,,0.33817472432910234,0.125
5,одноразовый комплект для пациента (по желанию пациента дополнительно),,,0.38528890605454214,0.03333333333333333
6,прием и регистрация проб,,,0.0,0.0
7,"приём, регистрация и сортировка проб в централизованных лабораториях",,,0.0,0.0
8,взятие биологического материала с помощью транспортных сред и тампонов,,,0.3878216070348006,0.1111111111111111
9,первичная обработка биологического материала,,,0.3878216070348006,0.07142857142857142
10,первичная обработка биологического материала,,,0.3878216070348006,0.07142857142857142
11,первичная обработка биологического материала (транспортная среда),,,0.3878216070348006,0.0625
12,выделение днк из иного биологического материала ручным способом сорбентный метод,,,0.5512444794261087,0.1
13,выделение днк из иного биологическогоматериала ручным способом сорбентный метод (реал-бест днк-экстракция),,,0.6541203480458978,0.058823529411764705
14,выделение рнк из иного биологического материала (назофарингеальные мазки),,,0.7346524534577394,0.0625
15,выявления сhlamydia trachomatis методом пцр качественное определение,,,0.6740761192671725,0.07142857142857142
16,"выявления hsv i,ii -вирус простого герпеса методом пцр качественное определение",,,1.3547905009095995,0.0967741935483871
17,выявления hpv - вирус папилломы человека методом пцр качественное определение,,,1.0319850832440083,0.0625
18,выявления тrichomonas vaginalis методом пцр качественное определение,,,0.5869942355399441,0.05555555555555555
19,выявления mycoplasma genitalium методом пцр качественное определение,,,1.0237612577130395,0.05555555555555555
20,выявления neisseria gonorrhoeae методом пцр качественное определение,,,1.1466805655358725,0.07142857142857142
21,выявления ureaplasma urealyticum методом пцр качественное определение,,,1.0091960955472439,0.05555555555555555
22,"выявление инфекционных возбудителей ""фемофлор-скрин"" (1.2 +9.1.2. +9.3.1.2.4 +9.4.2.1)",,,0.935330614559855,0.0
23,выявления hpv - вирус папилломы человека методом пцр количественное определение,,,1.0319850832440083,0.0625
24,выявление рнк инфекции covid-19 методом пцр,,,0.8022805640685822,0.0
25,"тестирование с qr-кодом через информационную систему "" путешествую без covid-19""",,,0.8022805640685822,0.0
26,оформление документов для выезда за рубеж,,,0.27680161680235843,0.06666666666666667
27,взятие материала для исследования биопсии,,,0.3878216070348006,0.06666666666666667
28,"гистологическое исследование операционногого, биопсийного и секционного материала",,,0.8079783781299756,0.25
29,консультация готовых гистологических микропрепаратов,,,0.0,0.0
