,synonyms,analysis
0,"Синонимы:Анализ крови на глюкозу; Глюкоза в плазме или сыворотке крови; Сахар крови; Глюкоза в крови; Анализ глюкозы в крови натощак; Анализ сахара в крови. Glucose, Plasma or Serum; Fasting blood glucose; FBG; Fasting plasma glucose; Blood glucose; Blood sugar; Fasting blood sugar; FBS.",Глюкоза (в крови) (Glucose)
1,Синонимы:Анализ крови на гликированный гемоглобин. Glycohemoglobin; HbA1c; Hemoglobin A1c; A1c; HgbA1c; Hb1c.,"Гликированный гемоглобин (HbA1С, Glycated Hemoglobin)"
2,Синонимы:Анализ крови на фруктозамин; Гликозилированный белок сыворотки.,Фруктозамин (Fructosamine)
3,Синонимы:Анализ крови на ГТТ; Пероральный глюкозотолерантный тест (ПГТТ); Тест на толерантность к глюкозе; Проба с 75 граммами глюкозы.,Глюкозотолерантный тест с определением глюкозы в венозной крови натощак и после нагрузки через 2 часа
4,Синонимы:Анализ крови на толерантность к глюкозе с С-пептидом; Пероральный глюкозотолерантный тест с С-пептидом; Тест на толерантность к глюкозе с С-пептидом.,Глюкозотолерантный тест с определением глюкозы и С-пептида в венозной крови натощак и через 2 часа после углеводной нагрузки
5,Синонимы:Анализ крови на ГТБ при беременности; Пероральный глюкозотолерантный тест (ПГТТ); Тест на толерантность к глюкозе; Проба с 75 граммами глюкозы.,Глюкозотолерантный тест при беременности
6,Синонимы: Молочная кислота; соли молочной кислоты.,"Лактат (Молочная кислота, Lactate)"
7,Синонимы:Общий белок сыворотки крови; Общий сывороточный белок.,Общий белок (в крови) (Protein total)
8,Синонимы:Общий гомоцистеин плазмы; Hcy; Plasma Total Homocysteine.,Гомоцистеин (Homocysteine)
9,Синонимы:Электрофорез белков сыворотки. SPEP.,"Белковые фракции (Serum Protein Electrophoresis, SPE)"
10,"Синонимы:Скрининг парапротеинов в сыворотке, иммунофиксация М-градиента.","М-градиент, скрининг. Электрофорез сыворотки и иммунофиксация с поливалентной антисывороткой и количественной оценкой М-градиента"
11,Синонимы:Электрофоретическое разделение белков сыворотки крови; Клинический электрофорез и иммунофиксация; Парапротеины (м-градиент) в сыворотке крови.,"М-градиент, типирование. Электрофорез сыворотки крови и иммунофиксация с панелью антисывороток (IgG/A/M/каппа/лямбда) c количественной оценкой М-градиента"
12,Синонимы:Aнализ крови на аминокислоты (13 аналитов).,"Аминокислоты в плазме крови, скрининговое исследование 13 показателей (Amino Acids Analysis, Plasma, 13 parameters)"
13,Синонимы:Aнализ крови на аминокислоты (48 аналитов).,"Аминокислоты в плазме крови, 48 показателей (Amino Acids Analysis, Plasma, 48 parameters)"
14,Синонимы:Анализ крови на легкие цепи иммуноглобулинов; Свободные κ и λ цепи иммуноглобулинов в крови; Свободные легкие цепи иммуноглобулинов в крови.,"Свободные легкие цепи иммуноглобулинов каппа и лямбда сыворотки с расчетом индекса каппа/лямбда (Serum immunoglobu-lin free light chains (FLC, sFLC) kappa and lambda, kappa/ lambda ratio)"
15,Синонимы:Общий билирубин крови; Общий билирубин сыворотки.,Билирубин общий (Bilirubin total)
16,Синонимы:Прямой билирубин; Конъюгированный билирубин; Связанный билирубин.,"Билирубин прямой (Билирубин конъюгированный, связанный; Bilirubin direct)"
17,Синонимы:Анализ крови на желчные кислоты.,Желчные кислоты (Bile Acids)
18,Синонимы:Липиды крови; нейтральные жиры; ТГ.,Триглицериды (Triglycerides)
19,"Синонимы:Холестерол, холестерин. Blood cholesterol, Cholesterol, Chol, Cholesterol total.","Холестерин общий (холестерин, Cholesterol total)"
20,Синонимы: Липопротеиды высокой плотности; ЛПВП; ЛВП; ХС ЛПВП; альфа-холестерин; α -холестерин. High-density lipoprotein cholesterol; High density lipoprotein; Alpha-Lipoprotein Cholesterol; α-lipoprotein cholesterol; α-Lp cholesterol; HDL; HDL-C; HDL Cholesterol.,"Холестерин-ЛПВП (Холестерин липопротеинов высокой плотности, HDL Cholesterol)"
21,Синонимы: ЛПНП; Липопротеины низкой плотности; ЛНП; ХС ЛПНП; Холестерин липопротеинов низкой плотности; Холестерол бета-липопротеидов; Бета-липопротеины; Бета-ЛП.,"Холестерин-ЛПНП (Холестерин липопротеинов низкой плотности, ЛПНП, Cholesterol LDL)"
22,Синонимы: Холестерин липопротеидов очень низкой плотности;,"Холестерин - ЛПОНП (Холестерин липопротеинов очень низкой плотности, ЛПОНП, VLDL Cholesterol)"
23,Синонимы: Апо А1; Апопротеин А1; Альфа-липопротеин; α-липопротеин.,Аполипопротеин А1 (Apolipoprotein A-1)
24,Синонимы: Апопротеин B; Апо В.,Аполипопротеин В (Apolipoprotein B)
25,Синонимы: Липопротеин - а; Лп (а); ЛП (а). Lipoprotein – a;,"Липопротеин (a) (Lipoprotein (a), Lp(a))"
26,"Синонимы: липопротеины низкой плотности, ЛПНП, ЛНП, ХС ЛПНП, холестерол бета-липопротеидов, бета-липопротеины, бета-ЛП.","Холестерин липопротеидов низкой плотности, прямой метод (Холестерин ЛПНП, прямой метод, LDL-cholesterol direct)"
27,Синонимы:Электрофорез липидов; Электрофорез липопротеидов сыворотки; Фракции липидов методом электрофореза. Lipoprotein electrophoresis: type of hyperlipidemia; Lipoprotein electrophoresis.,Электрофорез липопротеинов с типированием гиперлипидемий (Lipoprotein electrophoresis with typing of hyperlipidemias)
28,Синонимы:Глутамат-пируват-трансаминаза; Глутамат-пируват-трансаминаза в сыворотке; СГПТ.Alanine aminotransferase; Serum glutamic-pyruvic transaminase; SGPT; Alanine transaminase.,"АлАТ (АЛТ, Аланинаминотрансфераза, аланинтрансаминаза, SGPT, Alanine aminotransferase)"
29,Синонимы:Глутамино-щавелевоуксусная трансаминаза; Глутамат-оксалоацетат-трансаминаза сыворотки крови (СГОТ); L-аспартат 2-оксоглутарат аминотрансфераза; ГЩТ.,"АсАТ (АСТ, аспартатаминотрансфераза, AST, SGOT, Aspartate aminotransferase)"
30,Синонимы:Диастаза; Сывороточная амилаза; Амилаза сыворотки. α-Amylase; AMY; AML; Diastase; 1;4-?-D-glucanohydralase; Serum amylase; Blood amylase.,"Альфа-Амилаза (Диастаза, Alpha-Amylase)"
31,Синонимы:Анализ крови на панкреатическую амилазу; α-амилаза панкреатическая; P-амилаза; P-тип амилазы.,"Альфа-Амилаза панкреатическая (Pancreatic Alpha-amylase, P-изофермент амилазы)"
32,Синонимы:Гамма-глутаматтранспептидаза; Гамма-глютаматтрансфераза; ГГТ; Гамма-глутаматтранспептидаза; Гамма-глутаматтрансфераза; ГГТП.Gamma-glutamyl transferase; Gamma-glutamyl transpeptidase; GGTP; Gamma GT; GTP.,"Гамма-глутамилтранспептидаза (ГГТ, глутамилтранспептидаза, GGT, Gamma-glutamyl transferase)"
33,Синонимы:Эстераза; Стеапсин; Гидролаза эфиров глицерина.,"Липаза (Триацилглицеролацилгидролаза, Lipase)"
34,Синонимы:Анализ крови на ЛДГ; Лактатдегидрогеназа; L-лактат; НАД+Оксидоредуктаза; Дегидрогеназа молочной кислоты.,"Лактатдегидрогеназа (ЛДГ, L-лактат, НАД+Оксидоредуктаза, Lactate Dehydrogenase, LDH)"
35,Синонимы:Анализ крови на щелочную фосфатазу; Фосфатаза щёлочная. ALK PHOS; ALKP; ALPase; Alk Phos.,"Фосфатаза щёлочная (ЩФ, Alkaline phosphatase, ALP)"
36,Синонимы:Анализ крови на креатинкиназу. CK; Creatine Phosphokinase (CPK).,"Креатинкиназа (Креатинфосфокиназа, КК, КФК, CK, Creatine kinaze)"
